,channelTitle,videoTitle,videoView,videoLike,videoDislike,videoComment,publishedAt,publishedAt_string,Year,Month,DayofWeek,publishedAt_month,Month_str
215,Schannel,Drama LyLy & Quỳnh Trần JP liên tục tố nhau vì MV: Ai mới vô trách nhiệm ? - Hít Hà Drama,414919,10282,304,852,20-03-04,2020-03-04,2020,3,Wed,2020-03,Mar
216,Schannel,Sơn Tùng M-TP tung teaser MV mới ? | Tiêu Chiến bị tẩy chay vì mâu thuẫn fandom - GNCN 3/3,484745,12694,222,1261,20-03-03,2020-03-03,2020,3,Tue,2020-03,Mar
217,Schannel,"TOÀN CẢNH #3: TÂN THIÊN ĐỊA - Nguyên nhân khiến Hàn Quốc ""thất thủ"" trước Covid-19?",334009,4651,227,415,20-03-03,2020-03-03,2020,3,Tue,2020-03,Mar
218,Schannel,"Hạnh Chee, Hải Yến trốn chồng 1 Ngày sống như cô gái độc thân?",203387,4958,58,125,20-03-03,2020-03-03,2020,3,Tue,2020-03,Mar
219,Schannel,Trải nghiệm thử thách LỌT KHE siêu hot,331703,7018,126,241,20-03-04,2020-03-04,2020,3,Wed,2020-03,Mar
220,Schannel,󠀀󠀀Đan Anh lục balo Cuội và phát hiện sững sờ món đồ mới toanh,40228,1111,45,55,20-03-03,2020-03-03,2020,3,Tue,2020-03,Mar
221,Schannel,"󠀀󠀀Châu Đăng Khoa, Orange, LyLy liên tục tố nhau | K-ICM lọt top MV bị dislike nhiều nhất TG - GNCN",229122,6376,116,398,20-03-02,2020-03-02,2020,3,Mon,2020-03,Mar
222,Schannel,Bản tin Corona #20 : Sao Hàn nguy cơ nhiễm bệnh | Tân Thiên Địa bị điều tra | Lan rộng ra châu Â,223299,5868,80,508,20-03-02,2020-03-02,2020,3,Mon,2020-03,Mar
223,Schannel,"󠀀󠀀S News t5/T2: Honor rút khỏi VN, Google có người nhiễm Covid-19, Thị trường sụt giảm vì dịch",256912,5220,126,338,20-03-01,2020-03-01,2020,3,Sun,2020-03,Mar
224,Schannel,HuyR hoang mang vì MV với K-ICM bị dislike quá nhiều |  Nhiều Youtuber Hàn xin lỗi VN - GNCN 29/2,814738,20116,471,817,20-02-29,2020-02-29,2020,2,Sat,2020-02,Feb
225,Schannel,Vlog Mi Sơn - Khám phá Tầng 65 tòa nhà Lotte: Không dành cho Team sợ độ cao,176745,4399,70,274,20-03-01,2020-03-01,2020,3,Sun,2020-03,Mar
226,Schannel,"Châu Đăng Khoa đáp trả cực gắt Orange, LyLy |  Đà Nẵng lọt TOP 7 điểm đến hàng đầu TG ! - GNCN 28/2",290554,8405,126,571,20-02-28,2020-02-28,2020,2,Fri,2020-02,Feb
227,Schannel,Bản Tin Corona #19 : HQ tăng mạnh ca nhiễm | HS THPT đi học từ 2/3 | BB Trần bị “ném đá”,375695,8919,156,1113,20-02-28,2020-02-28,2020,2,Fri,2020-02,Feb
228,Schannel,Team UT: Khám phá đồ ăn Triều Tiên duy nhất | Bắt chước phim Hạ cánh nơi anh,206072,5549,98,268,20-02-28,2020-02-28,2020,2,Fri,2020-02,Feb
229,Schannel,[Nhạc chế] LỚP HỌC CÔ-NA & KỲ NGHỈ TẾT BẤT TẬN | OFFICAL PARODY,664705,14931,607,579,20-02-28,2020-02-28,2020,2,Fri,2020-02,Feb
230,Schannel,"󠀀󠀀Đồng sáng lập tố Châu Đăng Khoa “tham lam"" | Báo Mỹ hết lời khen bánh mì Thanh Long - GNCN 27/2",237888,7400,92,358,20-02-27,2020-02-27,2020,2,Thu,2020-02,Feb
231,Schannel,Adorable Home: Thăm nhà các thành viên SCHANNEL,432573,10897,110,541,20-02-27,2020-02-27,2020,2,Thu,2020-02,Feb
232,Schannel,GAME HACK NÃO: Giải mã câu nói của con trai | Khó hiểu không kém gì con gái ?!,268508,8426,70,340,20-02-29,2020-02-29,2020,2,Sat,2020-02,Feb
233,Schannel,"󠀀󠀀Orange, Lyly cùng tố công ty ""ăn chặn tiền"", ""tạo drama để PR"" | Hít Hà Drama",230192,5159,78,306,20-02-27,2020-02-27,2020,2,Thu,2020-02,Feb
234,Schannel,Adorable Home trở thành hot trend mới | HuyR chia sẻ về màn hợp tác với K-ICM - GNCN 26/2,435562,11146,182,766,20-02-26,2020-02-26,2020,2,Wed,2020-02,Feb
235,Schannel,Bản tin Corona #18 : #ApologizetoVietNam lên top Trending Thế giới | Đại chiến dân mạng HQ vs VN,1156234,33871,457,4356,20-02-26,2020-02-26,2020,2,Wed,2020-02,Feb
236,Schannel,Về thăm quê Quỳnh Chi và Đan Anh: 2 RICH KID thứ thiệt!!!,359614,7314,88,207,20-02-26,2020-02-26,2020,2,Wed,2020-02,Feb
237,Schannel,󠀀󠀀Châu Đăng Khoa bị 'ném đá' vì phát ngôn về Jack | Nhật Lê lên tiếng tin đồn quay lại Quang Hải,242629,6497,138,850,20-02-25,2020-02-25,2020,2,Tue,2020-02,Feb
238,Schannel,#BMML - Drama Galaxy Z Flip | Bphone 4 ra mắt đấu iPhone 9 (SE2) ?,52839,1268,51,85,20-02-25,2020-02-25,2020,2,Tue,2020-02,Feb
239,Schannel,Crossover Mi Sơn x Team UT: Đại chiến GoKart cực mạnh,168962,4366,49,142,20-02-29,2020-02-29,2020,2,Sat,2020-02,Feb
240,Schannel,Trực tiếp từ tâm dịch Corona Daegu - Hàn Quốc : Vắng ngắt như thành phố ma? | Người Việt muốn về ?,492070,6151,291,557,20-02-25,2020-02-25,2020,2,Tue,2020-02,Feb
241,Schannel,Jack chỉ mất 9 ngày để đạt nút vàng Youtube |  Lynk Lee được mọi người gọi là chị - GNCN 24/2,367532,9900,147,571,20-02-24,2020-02-24,2020,2,Mon,2020-02,Feb
242,Schannel,"Team UT: Trải nghiệm mì tự nấu chuẩn phong cách Hàn Quốc, lần đầu có mặt tại Hà Nội",243208,6490,156,237,20-02-25,2020-02-25,2020,2,Tue,2020-02,Feb
